date,teamA,teamB,match_type,venue_type,teamA_form_last5,teamB_form_last5,teamA_avg_goals_scored,teamA_avg_goals_conceded,teamB_avg_goals_scored,teamB_avg_goals_conceded,teamA_elo,teamB_elo,diff_elo,diff_form_last5,diff_avg_goals_scored,diff_avg_goals_conceded,result
2006-03-04,Equatorial Guinea,Congo,regional_championship,false,10.000,4.000,1.000,0.600,0.800,1.400,1382.258,1478.954,-96.696,6.000,0.200,-0.800,teamA_win
2006-03-06,Equatorial Guinea,Chad,regional_championship,false,10.000,4.000,1.200,0.800,1.200,2.600,1398.149,1408.086,-9.936,6.000,0.000,-1.800,draw
2006-03-08,Central African Republic,Gabon,regional_championship,true,3.000,4.000,0.400,1.800,0.600,1.000,1332.796,1510.841,-178.044,-1.000,-0.200,0.800,draw
2006-03-08,Chad,Congo,regional_championship,true,2.000,4.000,0.800,2.400,1.000,1.400,1407.728,1463.062,-55.334,-2.000,-0.200,1.000,draw
2006-03-11,Equatorial Guinea,Gabon,regional_championship,false,8.000,5.000,0.800,0.800,1.000,1.200,1398.507,1504.942,-106.436,3.000,-0.200,-0.400,draw
2006-03-14,Chad,Gabon,regional_championship,true,3.000,6.000,0.600,1.600,1.000,1.000,1409.702,1501.229,-91.526,-3.000,-0.400,0.600,draw
2006-03-15,Saudi Arabia,Iraq,friendly,false,5.000,4.000,1.400,1.400,1.400,2.000,1743.932,1606.530,137.402,1.000,0.000,-0.600,draw
2006-03-22,Germany,United States,friendly,false,7.000,13.000,1.400,1.600,2.600,0.400,1839.895,1857.073,-17.178,-6.000,-1.200,1.200,teamA_win
2006-03-22,Albania,Georgia,friendly,false,7.000,7.000,1.400,1.400,1.400,1.800,1490.045,1490.289,-0.244,0.000,0.000,-0.400,draw
2006-03-26,Thailand,Philippines,friendly,false,5.000,3.000,1.200,2.200,1.000,4.400,1475.775,1024.940,450.835,2.000,0.200,-2.200,teamA_win
2006-03-28,Saudi Arabia,Poland,friendly,false,5.000,9.000,1.600,1.600,2.000,1.200,1741.112,1748.931,-7.819,-4.000,-0.400,0.400,teamB_win
